caseid,citizenship_status,age,sex,province,education,agegroup,citizenship
7296,Canadian citizen,59.3,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
7297,Canadian citizen,16.3,Male,Quebec,Less than high school diploma or its equivalent,20 or less,Canadian citizen
7298,Canadian citizen,48.6,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
7299,Canadian citizen,40.1,Female,Saskatchewan,Trade certificate or diploma,41 to 50,Canadian citizen
7300,Canadian citizen,59.3,Female,Ontario,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
7301,Canadian citizen,73.4,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7302,Canadian citizen,49.6,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
7303,Canadian citizen,32.9,Female,New Brunswick,Trade certificate or diploma,31 to 40,Canadian citizen
7304,Canadian citizen,36.6,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7305,Canadian citizen,49.3,Male,Alberta,Trade certificate or diploma,41 to 50,Canadian citizen
7306,Canadian citizen,54.3,Female,Ontario,Trade certificate or diploma,51 to 60,Canadian citizen
7307,Canadian citizen,58.8,Female,Manitoba,Trade certificate or diploma,51 to 60,Canadian citizen
7308,Canadian citizen,16.9,Female,Ontario,Less than high school diploma or its equivalent,20 or less,Canadian citizen
7309,Canadian citizen,68.2,Female,New Brunswick,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
7310,Permanent resident,67.5,Female,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Permanent resident
7311,Canadian citizen,60,Female,Ontario,Trade certificate or diploma,51 to 60,Canadian citizen
7312,Canadian citizen,36.2,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7313,Other,41.2,Male,Ontario,"University certificate, diploma or degree above the bach...",41 to 50,Other
7314,Canadian citizen,63,Male,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
7315,Permanent resident,58.6,Female,British Columbia,"University certificate, diploma or degree above the bach...",51 to 60,Permanent resident
7316,Canadian citizen,69.5,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
7317,Canadian citizen,70,Female,Saskatchewan,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7318,Other,66.6,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,61 to 70,Other
7319,Canadian citizen,66.2,Male,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
7320,Canadian citizen,57.6,Female,Manitoba,Trade certificate or diploma,51 to 60,Canadian citizen
7321,Canadian citizen,59.7,Female,British Columbia,Trade certificate or diploma,51 to 60,Canadian citizen
7322,Canadian citizen,49.8,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
7323,Canadian citizen,55.4,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
7324,Canadian citizen,25.3,Male,Nova Scotia,Trade certificate or diploma,21 to 30,Canadian citizen
7325,Permanent resident,71.3,Female,Nova Scotia,Less than high school diploma or its equivalent,71 to 80,Permanent resident
7326,Canadian citizen,55.3,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
7327,Canadian citizen,35.2,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7328,Canadian citizen,54.6,Male,New Brunswick,Trade certificate or diploma,51 to 60,Canadian citizen
7329,Canadian citizen,71.6,Female,Nova Scotia,Trade certificate or diploma,71 to 80,Canadian citizen
7330,Canadian citizen,38.3,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7331,Canadian citizen,59.2,Female,Nova Scotia,Trade certificate or diploma,51 to 60,Canadian citizen
7332,Canadian citizen,55.7,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
7333,Permanent resident,67,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Permanent resident
7334,Canadian citizen,17.9,Female,Alberta,Less than high school diploma or its equivalent,20 or less,Canadian citizen
7335,Canadian citizen,53.5,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7336,Canadian citizen,59.9,Female,Saskatchewan,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7337,Canadian citizen,65,Female,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7338,Canadian citizen,72.8,Female,Quebec,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
7339,Canadian citizen,55,Male,Ontario,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
7340,Canadian citizen,68.2,Female,Ontario,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
7341,Other,69,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Other
7342,Canadian citizen,57.9,Female,Saskatchewan,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
7343,Canadian citizen,33.2,Female,Saskatchewan,Trade certificate or diploma,31 to 40,Canadian citizen
7344,Canadian citizen,74.4,Male,Quebec,University certificate or diploma below the bachelor's level,71 to 80,Canadian citizen
7345,Canadian citizen,29.8,Female,Nova Scotia,Trade certificate or diploma,21 to 30,Canadian citizen
7346,Canadian citizen,29.7,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
7347,Canadian citizen,27.3,Female,New Brunswick,"University certificate, diploma or degree above the bach...",21 to 30,Canadian citizen
7348,Canadian citizen,42.2,Female,British Columbia,Trade certificate or diploma,41 to 50,Canadian citizen
7349,Canadian citizen,44.4,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
7350,Permanent resident,49.7,Female,Ontario,"University certificate, diploma or degree above the bach...",41 to 50,Permanent resident
7351,Canadian citizen,30.3,Male,Quebec,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7352,Canadian citizen,34.3,Female,British Columbia,Trade certificate or diploma,31 to 40,Canadian citizen
7353,Canadian citizen,53.7,Male,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7354,Canadian citizen,65.1,Female,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
7355,Canadian citizen,51.2,Female,Quebec,Trade certificate or diploma,51 to 60,Canadian citizen
7356,Canadian citizen,71.2,Female,Quebec,Trade certificate or diploma,71 to 80,Canadian citizen
7357,Permanent resident,71.4,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Permanent resident
7358,Canadian citizen,29.6,Female,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
7359,Other,45,Female,Saskatchewan,"University certificate, diploma or degree above the bach...",41 to 50,Other
7360,Canadian citizen,31.4,Male,British Columbia,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7361,Canadian citizen,80,Male,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
7362,Other,32.4,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Other
7363,Other,41.5,Female,Quebec,Trade certificate or diploma,41 to 50,Other
7364,Canadian citizen,57.4,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
7365,Canadian citizen,29.7,Female,Manitoba,Trade certificate or diploma,21 to 30,Canadian citizen
7366,Permanent resident,56.5,Female,Ontario,University certificate or diploma below the bachelor's level,51 to 60,Permanent resident
7367,Canadian citizen,43.9,Male,Quebec,Trade certificate or diploma,41 to 50,Canadian citizen
7368,Canadian citizen,51,Male,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7369,Canadian citizen,60.6,Male,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7370,Permanent resident,75.4,Male,Ontario,Trade certificate or diploma,71 to 80,Permanent resident
7371,Canadian citizen,80,Male,New Brunswick,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
7372,Canadian citizen,35.3,Male,Saskatchewan,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7373,Permanent resident,53.7,Male,Quebec,"NA",51 to 60,Permanent resident
7374,Canadian citizen,57.8,Male,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7375,Canadian citizen,54.8,Female,Quebec,Trade certificate or diploma,51 to 60,Canadian citizen
7376,Other,62.1,Female,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Other
7377,Permanent resident,68.2,Male,British Columbia,Trade certificate or diploma,61 to 70,Permanent resident
7378,Other,25.3,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Other
7379,Canadian citizen,57.8,Female,Prince Edward Island,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
7380,Canadian citizen,77.2,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
7381,Canadian citizen,80,Female,Saskatchewan,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7382,Canadian citizen,80,Female,Alberta,Trade certificate or diploma,71 to 80,Canadian citizen
7383,Canadian citizen,22.1,Male,Saskatchewan,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7384,Canadian citizen,59.9,Male,Prince Edward Island,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
7385,Canadian citizen,38.5,Female,Newfoundland and Labrador,Trade certificate or diploma,31 to 40,Canadian citizen
7386,Canadian citizen,32.3,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7387,Permanent resident,25.5,Male,Ontario,High school diploma or a high school equivalency certificate,21 to 30,Permanent resident
7388,Canadian citizen,41.8,Female,Quebec,Trade certificate or diploma,41 to 50,Canadian citizen
7389,Canadian citizen,77,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7390,Permanent resident,57.1,Female,Ontario,Trade certificate or diploma,51 to 60,Permanent resident
7391,Canadian citizen,54.3,Female,New Brunswick,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7392,Canadian citizen,36.9,Female,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
7393,Canadian citizen,69.3,Male,Saskatchewan,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7394,Canadian citizen,29.5,Male,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
7395,Canadian citizen,40.1,Male,Ontario,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
7396,Canadian citizen,56.4,Male,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7397,Canadian citizen,70.1,Female,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Canadian citizen
7398,Canadian citizen,32.2,Male,Manitoba,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7399,Other,21.8,Female,Quebec,High school diploma or a high school equivalency certificate,21 to 30,Other
7400,Canadian citizen,40.8,Male,New Brunswick,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
7401,Permanent resident,66.6,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Permanent resident
7402,Canadian citizen,63.3,Female,Saskatchewan,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7403,Permanent resident,80,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Permanent resident
7404,Canadian citizen,24.1,Female,Alberta,Trade certificate or diploma,21 to 30,Canadian citizen
7405,Other,18.3,Male,British Columbia,Less than high school diploma or its equivalent,20 or less,Other
7406,Canadian citizen,53,Male,Ontario,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
7407,Canadian citizen,24.3,Female,Nova Scotia,Trade certificate or diploma,21 to 30,Canadian citizen
7408,Canadian citizen,16.5,Female,British Columbia,Less than high school diploma or its equivalent,20 or less,Canadian citizen
7409,Canadian citizen,80,Female,British Columbia,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
7410,Canadian citizen,33.1,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7411,Canadian citizen,80,Male,Saskatchewan,Trade certificate or diploma,71 to 80,Canadian citizen
7412,Canadian citizen,43.8,Male,Nova Scotia,Trade certificate or diploma,41 to 50,Canadian citizen
7413,Canadian citizen,27.3,Female,Alberta,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7414,Canadian citizen,30.9,Female,Ontario,Trade certificate or diploma,31 to 40,Canadian citizen
7415,Permanent resident,65.3,Female,British Columbia,Trade certificate or diploma,61 to 70,Permanent resident
7416,Canadian citizen,34.8,Female,Quebec,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
7417,Canadian citizen,34.3,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7418,Permanent resident,76.2,Male,Ontario,Trade certificate or diploma,71 to 80,Permanent resident
7419,Canadian citizen,34.5,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7420,Canadian citizen,68.4,Male,New Brunswick,Trade certificate or diploma,61 to 70,Canadian citizen
7421,Canadian citizen,68.3,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7422,Other,36.1,Female,Quebec,University certificate or diploma below the bachelor's level,31 to 40,Other
7423,Canadian citizen,29,Female,Saskatchewan,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7424,Canadian citizen,78.7,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
7425,Canadian citizen,67.4,Male,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7426,Other,55.2,Female,British Columbia,Less than high school diploma or its equivalent,51 to 60,Other
7427,Canadian citizen,38.7,Male,Ontario,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7428,Canadian citizen,52.8,Female,New Brunswick,Trade certificate or diploma,51 to 60,Canadian citizen
7429,Canadian citizen,71.4,Female,British Columbia,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7430,Canadian citizen,23.8,Female,British Columbia,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7431,Permanent resident,49.8,Female,British Columbia,Trade certificate or diploma,41 to 50,Permanent resident
7432,Canadian citizen,22.3,Female,Quebec,Trade certificate or diploma,21 to 30,Canadian citizen
7433,Canadian citizen,66.5,Female,New Brunswick,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
7434,Canadian citizen,34.3,Female,Prince Edward Island,Trade certificate or diploma,31 to 40,Canadian citizen
7435,Canadian citizen,54.9,Female,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7436,Permanent resident,68.4,Female,Ontario,Less than high school diploma or its equivalent,61 to 70,Permanent resident
7437,Permanent resident,38.4,Male,Alberta,High school diploma or a high school equivalency certificate,31 to 40,Permanent resident
7438,Canadian citizen,60.3,Female,Ontario,Trade certificate or diploma,61 to 70,Canadian citizen
7439,Canadian citizen,35.8,Male,Ontario,Less than high school diploma or its equivalent,31 to 40,Canadian citizen
7440,Canadian citizen,63.8,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
7441,Canadian citizen,64.3,Male,Alberta,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7442,Canadian citizen,36.8,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7443,Canadian citizen,76.8,Female,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7444,Canadian citizen,70.8,Female,New Brunswick,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7445,Canadian citizen,68.2,Male,Nova Scotia,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
7446,Canadian citizen,29.8,Male,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
7447,Canadian citizen,25.9,Female,Saskatchewan,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7448,Canadian citizen,34.3,Female,New Brunswick,Trade certificate or diploma,31 to 40,Canadian citizen
7449,Canadian citizen,55,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",51 to 60,Canadian citizen
7450,Permanent resident,56.1,Male,British Columbia,Trade certificate or diploma,51 to 60,Permanent resident
7451,Permanent resident,56.6,Female,Ontario,University certificate or diploma below the bachelor's level,51 to 60,Permanent resident
7452,Canadian citizen,49.6,Female,Alberta,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
7453,Canadian citizen,75.6,Female,Quebec,Trade certificate or diploma,71 to 80,Canadian citizen
7454,Canadian citizen,47.3,Female,Quebec,University certificate or diploma below the bachelor's level,41 to 50,Canadian citizen
7455,Canadian citizen,80,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
7456,Permanent resident,32.3,Female,Ontario,"University certificate, diploma or degree above the bach...",31 to 40,Permanent resident
7457,Permanent resident,54,Female,Ontario,"University certificate, diploma or degree above the bach...",51 to 60,Permanent resident
7458,Canadian citizen,50.8,Male,Quebec,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7459,Canadian citizen,25.7,Female,Ontario,Trade certificate or diploma,21 to 30,Canadian citizen
7460,Canadian citizen,63,Male,Alberta,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7461,Permanent resident,51.2,Female,Alberta,Trade certificate or diploma,51 to 60,Permanent resident
7462,Permanent resident,42.2,Female,Quebec,Trade certificate or diploma,41 to 50,Permanent resident
7463,Canadian citizen,72.3,Male,Quebec,"University certificate, diploma or degree above the bach...",71 to 80,Canadian citizen
7464,Canadian citizen,37.1,Male,New Brunswick,Trade certificate or diploma,31 to 40,Canadian citizen
7465,Permanent resident,80,Female,Ontario,"University certificate, diploma or degree above the bach...",71 to 80,Permanent resident
7466,Canadian citizen,48.8,Male,British Columbia,Trade certificate or diploma,41 to 50,Canadian citizen
7467,Canadian citizen,43.7,Male,Quebec,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
7468,Canadian citizen,56.3,Female,British Columbia,Trade certificate or diploma,51 to 60,Canadian citizen
7469,Canadian citizen,57.7,Male,Nova Scotia,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7470,Canadian citizen,62.9,Female,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7471,Canadian citizen,69.1,Female,New Brunswick,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
7472,Canadian citizen,48.3,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
7473,Canadian citizen,75.1,Male,Quebec,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7474,Canadian citizen,67.8,Female,New Brunswick,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7475,Canadian citizen,59.7,Female,Ontario,"University certificate, diploma or degree above the bach...",51 to 60,Canadian citizen
7476,Permanent resident,74.8,Male,Ontario,Less than high school diploma or its equivalent,71 to 80,Permanent resident
7477,Permanent resident,66.9,Male,Ontario,Trade certificate or diploma,61 to 70,Permanent resident
7478,Canadian citizen,68.1,Female,Saskatchewan,Trade certificate or diploma,61 to 70,Canadian citizen
7479,Canadian citizen,63.1,Male,Ontario,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7480,Canadian citizen,37.3,Female,British Columbia,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7481,Other,54,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Other
7482,Canadian citizen,53.9,Female,Manitoba,Trade certificate or diploma,51 to 60,Canadian citizen
7483,Canadian citizen,54.2,Male,Quebec,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
7484,Canadian citizen,56.8,Male,Quebec,"NA",51 to 60,Canadian citizen
7485,Canadian citizen,54.9,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7486,Canadian citizen,80,Female,Prince Edward Island,Trade certificate or diploma,71 to 80,Canadian citizen
7487,Canadian citizen,53.9,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7488,Canadian citizen,52.3,Male,Nova Scotia,Trade certificate or diploma,51 to 60,Canadian citizen
7489,Canadian citizen,67.3,Female,Prince Edward Island,Less than high school diploma or its equivalent,61 to 70,Canadian citizen
7490,Canadian citizen,42.3,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
7491,Canadian citizen,35.8,Male,British Columbia,Trade certificate or diploma,31 to 40,Canadian citizen
7492,Canadian citizen,40,Male,Quebec,Less than high school diploma or its equivalent,31 to 40,Canadian citizen
7493,Canadian citizen,15.3,Male,Ontario,Less than high school diploma or its equivalent,20 or less,Canadian citizen
7494,Permanent resident,40.7,Female,Quebec,High school diploma or a high school equivalency certificate,41 to 50,Permanent resident
7495,Canadian citizen,41,Female,Manitoba,High school diploma or a high school equivalency certificate,41 to 50,Canadian citizen
7496,Permanent resident,30.4,Female,British Columbia,University certificate or diploma below the bachelor's level,31 to 40,Permanent resident
7497,Canadian citizen,53.7,Female,New Brunswick,Trade certificate or diploma,51 to 60,Canadian citizen
7498,Canadian citizen,79.6,Male,British Columbia,Trade certificate or diploma,71 to 80,Canadian citizen
7499,Canadian citizen,34.2,Male,Nova Scotia,Less than high school diploma or its equivalent,31 to 40,Canadian citizen
7500,Canadian citizen,72.8,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7501,Canadian citizen,65.4,Female,Manitoba,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7502,Canadian citizen,48,Female,Quebec,Trade certificate or diploma,41 to 50,Canadian citizen
7503,Canadian citizen,77.2,Female,Ontario,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
7504,Permanent resident,67.4,Male,Quebec,Less than high school diploma or its equivalent,61 to 70,Permanent resident
7505,Canadian citizen,33.3,Male,British Columbia,Trade certificate or diploma,31 to 40,Canadian citizen
7506,Canadian citizen,41,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
7507,Canadian citizen,56.8,Female,Ontario,Less than high school diploma or its equivalent,51 to 60,Canadian citizen
7508,Canadian citizen,46.5,Male,Ontario,University certificate or diploma below the bachelor's level,41 to 50,Canadian citizen
7509,Canadian citizen,35.6,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7510,Canadian citizen,63.4,Male,Quebec,Trade certificate or diploma,61 to 70,Canadian citizen
7511,Canadian citizen,56.5,Male,Alberta,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7512,Canadian citizen,69.7,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",61 to 70,Canadian citizen
7513,Canadian citizen,69.8,Male,Nova Scotia,"University certificate, diploma or degree above the bach...",61 to 70,Canadian citizen
7514,Canadian citizen,28.3,Male,New Brunswick,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7515,Canadian citizen,29.9,Male,Quebec,Less than high school diploma or its equivalent,21 to 30,Canadian citizen
7516,Canadian citizen,25.8,Male,Alberta,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7517,Canadian citizen,23.8,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
7518,Canadian citizen,43.7,Female,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
7519,Canadian citizen,30.7,Female,Alberta,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
7520,Canadian citizen,80,Male,Quebec,Trade certificate or diploma,71 to 80,Canadian citizen
7521,Canadian citizen,71.2,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7522,Permanent resident,61.2,Female,British Columbia,High school diploma or a high school equivalency certificate,61 to 70,Permanent resident
7523,Canadian citizen,29.8,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",21 to 30,Canadian citizen
7524,Canadian citizen,71.7,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",71 to 80,Canadian citizen
7525,Canadian citizen,34.5,Female,Nova Scotia,Trade certificate or diploma,31 to 40,Canadian citizen
7526,Other,65.1,Male,Alberta,Trade certificate or diploma,61 to 70,Other
7527,Canadian citizen,68.3,Male,Alberta,High school diploma or a high school equivalency certificate,61 to 70,Canadian citizen
7528,Canadian citizen,33.6,Female,Saskatchewan,Trade certificate or diploma,31 to 40,Canadian citizen
7529,Permanent resident,37.4,Female,British Columbia,Trade certificate or diploma,31 to 40,Permanent resident
7530,Canadian citizen,30.8,Male,Alberta,Trade certificate or diploma,31 to 40,Canadian citizen
7531,Permanent resident,62.1,Male,Ontario,Trade certificate or diploma,61 to 70,Permanent resident
7532,Canadian citizen,68,Female,Ontario,University certificate or diploma below the bachelor's level,61 to 70,Canadian citizen
7533,Canadian citizen,53.9,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,51 to 60,Canadian citizen
7534,Canadian citizen,21.6,Male,Alberta,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7535,Canadian citizen,54.4,Female,Ontario,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7536,Canadian citizen,24.4,Female,Alberta,Less than high school diploma or its equivalent,21 to 30,Canadian citizen
7537,Canadian citizen,78.2,Male,Saskatchewan,Less than high school diploma or its equivalent,71 to 80,Canadian citizen
7538,Canadian citizen,45.8,Male,Quebec,Trade certificate or diploma,41 to 50,Canadian citizen
7539,Canadian citizen,43.3,Male,Ontario,Trade certificate or diploma,41 to 50,Canadian citizen
7540,Canadian citizen,54.9,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,51 to 60,Canadian citizen
7541,Canadian citizen,17.3,Male,Ontario,Less than high school diploma or its equivalent,20 or less,Canadian citizen
7542,Canadian citizen,65,Male,Prince Edward Island,Trade certificate or diploma,61 to 70,Canadian citizen
7543,Canadian citizen,43.8,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",41 to 50,Canadian citizen
7544,Canadian citizen,77.2,Male,Saskatchewan,Trade certificate or diploma,71 to 80,Canadian citizen
7545,Canadian citizen,42.7,Male,Newfoundland and Labrador,"NA",41 to 50,Canadian citizen
7546,Canadian citizen,31,Female,Ontario,"University certificate, diploma or degree above the bach...",31 to 40,Canadian citizen
7547,Canadian citizen,78.7,Male,Ontario,Trade certificate or diploma,71 to 80,Canadian citizen
7548,Canadian citizen,38.4,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",31 to 40,Canadian citizen
7549,Canadian citizen,71.1,Female,Newfoundland and Labrador,Trade certificate or diploma,71 to 80,Canadian citizen
7550,Canadian citizen,68,Male,Prince Edward Island,Trade certificate or diploma,61 to 70,Canadian citizen
7551,Canadian citizen,30.8,Female,Quebec,High school diploma or a high school equivalency certificate,31 to 40,Canadian citizen
7552,Permanent resident,66.4,Female,Ontario,University certificate or diploma below the bachelor's level,61 to 70,Permanent resident
7553,Canadian citizen,80,Male,British Columbia,High school diploma or a high school equivalency certificate,71 to 80,Canadian citizen
7554,Canadian citizen,22,Male,Saskatchewan,High school diploma or a high school equivalency certificate,21 to 30,Canadian citizen
7555,Canadian citizen,38.9,Female,Prince Edward Island,Trade certificate or diploma,31 to 40,Canadian citizen
